:militaryUnit;Identifer;Feldpostnummer;rdfs:seeAlso;Wd:Identifier;:partof;Wikipedia-Article references;Geoposition: ;
1. Kompanie Panzer-Pionier-Bataillon 675;militaryUnit2220;13447;https://www.lexikon-der-wehrmacht.de/Gliederungen/PzPionierBat/PzPiBat675.htm;Q125484375;;;;
1. Kompanie/Kraftfahr-Ausbildungsstaffel der Fliegertruppe 6;;None;http://www.ww2.dk/ground/versorgung/kfausb.htm;Q125487336;;;;
1. Kompanie Panzer-Späh Ersatz Kompanie Abteilung 7;;37446 B;"https://www.lexikon-der-wehrmacht.de/Gliederungen/KradSchtzErsBat/KradSchtzErsBat7-R.htm;  https://www.balsi.de/Weltkrieg/Einheiten/Heer/Schnelle Truppe/Aufklaerer/Abteilungen/Gemeinsamer Ordner/7-AA.htm";Q125488128;;;;
2. Kompanie 8. Ersatz-Marine-Artillerie-Abteilung;;31447 A;https://www.lexikon-der-wehrmacht.de/Gliederungen/ArtErsAbt/ArtErsAbt8-R.htm#:~:text=Die Artillerie-Ersatz-Abteilung 8,auf die Division 148 über.;Q125676603;Küstenbefehlshaber Nordfriesland;"https://de.wikipedia.org/wiki/Fliegerhorstkaserne; https://de.wikipedia.org/wiki/Küstenbefehlshaber_Nordfriesland; ";54° 29′ 10″ N, 9° 4′ 52″ O;Stabschef: https://de.wikipedia.org/wiki/Werner_Peters_(Marineoffizier)
2. Kompanie Infanterie-Divisions-Nachrichten-Abteilung 330;;37725;"https://www.lexikon-der-wehrmacht.de/Gliederungen/Divisionseinheiten/IDEinheiten330-R.htm; https://www.lexikon-der-wehrmacht.de/Gliederungen/Infanteriedivisionen/330ID.htm";Q125511368;;;;
2. Kompanie Sturm-Pionier-Bataillon 178 unter 78. Infanterie-Division;;15605;"https://www.lexikon-der-wehrmacht.de/Gliederungen/PionierBatSturm/PionierBatSturm178-R.htm ; https://www.lexikon-der-wehrmacht.de/Gliederungen/Infanteriedivisionen/78ID-R.htm";Q125592744;;;;
2. Kompanie Wach-Bataillon 58;;18803;https://www.lexikon-der-wehrmacht.de/Gliederungen/NachschubBat/NachschubBat58.htm;Q125511407;;;;
2.Kraftfahrzeug Ersatz Abteilung 5;;34565;https://www.lexikon-der-wehrmacht.de/Gliederungen/KraftfahrAbtErs/KraftfahrAbtErs5-R.htm;Q125511520;Q125511499;;;
4. Kompanie Bau-Bataillon 46;;27787;https://www.lexikon-der-wehrmacht.de/Gliederungen/BauBtl/BauBtl46-R.htm;Q125523397;;;;
7. kleine Kraftwagenkolonne Panzer-Divisions-Kolonne 84;;12495;https://www.lexikon-der-wehrmacht.de/Gliederungen/DivisionseinheitenPanzer/PDEinheiten4-R.htm;Q125522974;Q231032;;;
Bäckereikompanie 239;;06234;https://vbl.drk-suchdienst.online/Cache/ce6049b2-974e-43b8-8a4d-f8bff3a3ac72.jpg;Q125554164;;;;
Ersatz-Kompanie f. Pionier-Zg.(motorisiert)104;;None;"https://www.lexikon-der-wehrmacht.de/Kasernen/Wehrkreis12/KasernenHeidelberg-R.htm; ";Q125554983;;;;
Großbäckerei-Kompanie 805;;00309;;;Eventuell Panzerjäger-Abtl. 1057? Gebirgsjäger 157?;;;
Gruppe geheime Feldpolizei 724;;40833;"https://www.stampsx.com/ratgeber/stempel-datenbank.php?stempeltext=72&stempelsuche_ort=Feldpoststempel 1939-1945&stempelsuche_typ=K1; https://www.lexikon-der-wehrmacht.de/Gliederungen/Ordnungstruppen/GFP-R.htm";Q125555196;;;;
Infanterie Ersatz Abteilung 9, Verfügungskompanie;;None ;;"Q125592976 Q125593589 Q125593971 (alle möglich)";;;;
Infanterie-Divisions-Nachrichten-Abteilung 330;;20828;https://www.lexikon-der-wehrmacht.de/Gliederungen/Divisionseinheiten/IDEinheiten330-R.htm;Q125511189;;;;
Marine-Zoll-Befehlsstelle Brest und Bezirks-Zoll-Kommissariat (G) Landerneau;;10782a;;;;;;
"Stab u. 1.-4. Kompanie Feldersatz-Bataillon  205.";;56601;;Q125594764;;;;
Bäckerei-Kompanie 260;;36664;"https://www.stampsx.com/ratgeber/stempel-datenbank.php?stempeltext=643&stempelsuche_ort=Feldpoststempel 1939-1945&stempelsuche_typ=K1; https://wordpress.260id.de/deutsche-version/gliederung-der-division/";Q125554630;;;;
Einsatz-Hafen Ausrüstungs Kolonne 2/III;;;https://www.ww2.dk/Airfields - Germany [1937 Borders].pdf;;;;;
2. Kompanie Infanterie-Ersatz-Bataillon 358;;;https://www.lexikon-der-wehrmacht.de/Gliederungen/InfErsBat/InfErsBat358-R.htm;Q125595680;;;;
Infanterie Ersatz Regiment 5;;;;Q125621308;;;;
Infanterie Ersatz Regiment 420;;;https://www.lexikon-der-wehrmacht.de/Feldpostnummern/10000/10000/1058-R.htm;Q125621459;;;;
6. Batterie Marine-Artillerie-Abteilung 205;;32618;https://www.germanstamps.net/feldpost-number-database/?utm_source=chatgpt.com;;;;;
